,ini,-0.12,-0.26,-0.76,-1.5,-2.5,-3.5,-4.5
1,0.003934781,0.0006019,0.001476,0.003353,0.003929,0.003935,0.003935,0.003935
1,0.003828281,0.0005856,0.001436,0.003262,0.003822,0.003828,0.003828,0.003828
1,0.003934781,0.0006019,0.001476,0.003353,0.003929,0.003935,0.003935,0.003935
1,0.003828281,0.0005856,0.001436,0.003262,0.003822,0.003828,0.003828,0.003828
1,0.003082781,0.0004716,0.001156,0.002627,0.003078,0.003083,0.003083,0.003083
1,0.003082781,0.0004716,0.001156,0.002627,0.003078,0.003083,0.003083,0.003083
1,0.004112281,0.000629,0.001542,0.003504,0.004106,0.004112,0.004112,0.004112
1,0.003082781,0.0004716,0.001156,0.002627,0.003078,0.003083,0.003083,0.003083
1,0.004112281,0.000629,0.001542,0.003504,0.004106,0.004112,0.004112,0.004112
1,0.003650781,0.0005585,0.001369,0.003111,0.003645,0.003651,0.003651,0.003651
1,0.003650781,0.0005585,0.001369,0.003111,0.003645,0.003651,0.003651,0.003651
1,0.003544281,0.0005422,0.001329,0.00302,0.003539,0.003544,0.003544,0.003544
