,ini,-0.09,-0.22,-0.71,-1.5,-2.5,-3.5,-4.5
1,0.004614355,0.00083805,0.002035,0.0044055,0.004614,0.004614,0.004614,0.004614
1,0.004614355,0.00083805,0.002035,0.0044055,0.004614,0.004614,0.004614,0.004614
1,0.004614355,0.00083805,0.002035,0.0044055,0.004614,0.004614,0.004614,0.004614
1,0.00394709,0.00071685,0.001741,0.003769,0.003947,0.003947,0.003947,0.003947
1,0.00394709,0.00071685,0.001741,0.003769,0.003947,0.003947,0.003947,0.003947
1,0.004029355,0.0007318,0.001777,0.0038475,0.004029,0.004029,0.004029,0.004029
1,0.004029355,0.0007318,0.001777,0.0038475,0.004029,0.004029,0.004029,0.004029
1,0.004029355,0.0007318,0.001777,0.0038475,0.004029,0.004029,0.004029,0.004029
1,0.00453209,0.0008231,0.001999,0.004327,0.004532,0.004532,0.004532,0.004532
1,0.00453209,0.0008231,0.001999,0.004327,0.004532,0.004532,0.004532,0.004532
1,0.004321855,0.0007849,0.001906,0.0041265,0.004322,0.004322,0.004322,0.004322
1,0.004321855,0.0007849,0.001906,0.0041265,0.004322,0.004322,0.004322,0.004322
1,0.004321855,0.0007849,0.001906,0.0041265,0.004322,0.004322,0.004322,0.004322
1,0.00482459,0.0008762,0.002128,0.0046065,0.004825,0.004825,0.004825,0.004825
1,0.00482459,0.0008762,0.002128,0.0046065,0.004825,0.004825,0.004825,0.004825
1,0.003736855,0.00067865,0.001648,0.0035675,0.003737,0.003737,0.003737,0.003737
1,0.003736855,0.00067865,0.001648,0.0035675,0.003737,0.003737,0.003737,0.003737
1,0.003736855,0.00067865,0.001648,0.0035675,0.003737,0.003737,0.003737,0.003737
1,0.00423959,0.00076995,0.00187,0.004048,0.00424,0.00424,0.00424,0.00424
1,0.00423959,0.00076995,0.00187,0.004048,0.00424,0.00424,0.00424,0.00424
1,0.00439498,0.00079815,0.001938,0.0041965,0.004395,0.004395,0.004395,0.004395
1,0.00439498,0.00079815,0.001938,0.0041965,0.004395,0.004395,0.004395,0.004395
1,0.00439498,0.00079815,0.001938,0.0041965,0.004395,0.004395,0.004395,0.004395
