,ini,-0.12,-0.24,-0.74,-1.5,-2.5,-3.5,-4.5,,,,,,,,,,,,,,
1,0.004003012,0.0009137,0.001759,0.00383,0.004003,0.004003,0.004003,0.004003,,,,,,,,,,,,,,
1,0.004003012,0.0009137,0.001759,0.00383,0.004003,0.004003,0.004003,0.004003,,,,,,,,,,,,,,
1,0.004003012,0.0009137,0.001759,0.00383,0.004003,0.004003,0.004003,0.004003,,,,,,,,,,,,,,
1,0.004003012,0.0009137,0.001759,0.00383,0.004003,0.004003,0.004003,0.004003,,,,,,,,,,,,,,
1,0.004003012,0.0009137,0.001759,0.00383,0.004003,0.004003,0.004003,0.004003,,,,,,,,,,,,,,
1,0.004006473,0.0009145,0.001761,0.003833,0.004006,0.004006,0.004006,0.004006,,,,,,,,,,,,,,
1,0.004006473,0.0009145,0.001761,0.003833,0.004006,0.004006,0.004006,0.004006,,,,,,,,,,,,,,
1,0.004006473,0.0009145,0.001761,0.003833,0.004006,0.004006,0.004006,0.004006,,,,,,,,,,,,,,
1,0.004006473,0.0009145,0.001761,0.003833,0.004006,0.004006,0.004006,0.004006,,,,,,,,,,,,,,
1,0.004006473,0.0009145,0.001761,0.003833,0.004006,0.004006,0.004006,0.004006,,,,,,,,,,,,,,
1,0.004009934,0.0009153,0.001762,0.003836,0.00401,0.00401,0.00401,0.00401,,,,,,,,,,,,,,
1,0.004009934,0.0009153,0.001762,0.003836,0.00401,0.00401,0.00401,0.00401,,,,,,,,,,,,,,
1,0.004009934,0.0009153,0.001762,0.003836,0.00401,0.00401,0.00401,0.00401,,,,,,,,,,,,,,
1,0.004009934,0.0009153,0.001762,0.003836,0.00401,0.00401,0.00401,0.00401,,,,,,,,,,,,,,
1,0.004009934,0.0009153,0.001762,0.003836,0.00401,0.00401,0.00401,0.00401,,,,,,,,,,,,,,
1,0.004013395,0.0009161,0.001764,0.00384,0.004013,0.004013,0.004013,0.004013,,,,,,,,,,,,,,
1,0.004013395,0.0009161,0.001764,0.00384,0.004013,0.004013,0.004013,0.004013,,,,,,,,,,,,,,
1,0.004013395,0.0009161,0.001764,0.00384,0.004013,0.004013,0.004013,0.004013,,,,,,,,,,,,,,
