 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 4.    Time:  11:31:16
 Units: L = cm   , T = sec  , M = g    


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  228      4.54     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  229      4.56     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  230      4.58     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  231      4.60     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  232      4.62     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  233      4.64     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  234      4.66     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  235      4.68     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  236      4.70     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  237      4.72     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  238      4.74     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  239      4.76     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  240      4.78     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  241      4.80     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  242      4.82     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  243      4.84     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  244      4.86     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  245      4.88     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  246      4.90     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  247      4.92     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  248      4.94     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  249      4.96     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  250      4.98     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  251      5.00     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  252      5.02     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  253      5.04     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  254      5.06     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  255      5.08     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  256      5.10     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
